Year,Month,Sum of handwashing_facilities,location
2020,January,119.1,India
2020,February,1726.9499999999991,India
2020,March,1846.049999999999,India
2020,April,1786.499999999999,India
2020,May,1846.049999999999,India
2020,June,1786.499999999999,India
2020,July,1846.049999999999,India
2020,August,1846.049999999999,India
2020,September,1786.499999999999,India
2020,October,1846.049999999999,India
2020,November,1786.499999999999,India
2020,December,1846.049999999999,India
2021,January,1846.049999999999,India
2021,February,1667.3999999999992,India
2021,March,1846.049999999999,India
2021,April,1786.499999999999,India
2021,May,1846.049999999999,India
2021,June,1786.499999999999,India
2021,July,1846.049999999999,India
2021,August,1846.049999999999,India
2021,September,1786.499999999999,India
2021,October,1846.049999999999,India
2021,November,1786.499999999999,India
2021,December,1846.049999999999,India
2022,January,1846.049999999999,India
2022,February,1667.3999999999992,India
2022,March,297.75,India
