date,total_cases
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,2228.0
2020-01-23,2628.0
2020-01-24,3778.0
2020-01-25,5751.0
2020-01-26,8483.0
2020-01-27,11720.0
2020-01-28,22328.0
2020-01-29,24686.0
2020-01-30,32958.0
2020-01-31,39721.0
2020-02-01,48171.0
2020-02-02,67169.0
2020-02-03,79571.0
2020-02-04,95620.0
2020-02-05,110600.0
2020-02-06,123248.0
2020-02-07,137504.0
2020-02-08,148433.0
2020-02-09,160553.0
2020-02-10,170847.0
2020-02-11,179022.0
2020-02-12,180614.0
2020-02-13,241222.0
2020-02-14,267248.0
2020-02-15,275687.0
2020-02-16,284279.0
2020-02-17,292221.0
2020-02-18,299573.0
2020-02-19,301415.0
2020-02-20,303633.0
2020-02-21,306170.0
2020-02-22,313260.0
2020-02-23,314768.0
2020-02-24,317114.0
2020-02-25,320637.0
2020-02-26,324679.0
2020-02-27,330365.0
2020-02-28,336251.0
2020-02-29,344176.0
2020-03-01,354405.0
2020-03-02,362814.0
2020-03-03,373864.0
2020-03-04,384123.0
2020-03-05,396749.0
2020-03-06,414042.0
2020-03-07,432566.0
2020-03-08,450620.0
2020-03-09,470338.0
2020-03-10,492796.0
2020-03-11,528258.0
2020-03-12,556304.0
2020-03-13,623051.0
2020-03-14,674913.0
2020-03-15,728096.0
2020-03-16,797593.0
2020-03-17,872175.0
2020-03-18,963440.0
2020-03-19,1089629.0
2020-03-20,1231719.0
2020-03-21,1378633.0
2020-03-22,1536690.0
2020-03-23,1731305.0
2020-03-24,1916678.0
2020-03-25,2148712.0
2020-03-26,2432214.0
2020-03-27,2723100.0
2020-03-28,3033454.0
2020-03-29,3285413.0
2020-03-30,3572778.0
2020-03-31,3912089.0
2020-04-01,4271198.0
2020-04-02,4630825.0
2020-04-03,4997210.0
2020-04-04,5239080.0
2020-04-05,5539712.0
2020-04-06,5854916.0
2020-04-07,6148433.0
2020-04-08,6508588.0
2020-04-09,6880149.0
2020-04-10,7244306.0
2020-04-11,7560030.0
2020-04-12,8103585.0
2020-04-13,8404891.0
2020-04-14,8768580.0
2020-04-15,9104050.0
2020-04-16,9515110.0
2020-04-17,9887020.0
2020-04-18,10209601.0
2020-04-19,10532532.0
2020-04-20,10849094.0
2020-04-21,11166740.0
2020-04-22,11509908.0
2020-04-23,11855877.0
2020-04-24,12193133.0
2020-04-25,12538317.0
2020-04-26,12830361.0
2020-04-27,13124920.0
2020-04-28,13438906.0
2020-04-29,13756750.0
2020-04-30,14098268.0
2020-05-01,14462118.0
2020-05-02,14784482.0
2020-05-03,15087153.0
2020-05-04,15401805.0
2020-05-05,15727804.0
2020-05-06,16101749.0
2020-05-07,16463608.0
2020-05-08,16833570.0
2020-05-09,17175928.0
2020-05-10,17480971.0
2020-05-11,17793069.0
2020-05-12,18138686.0
2020-05-13,18481711.0
2020-05-14,18868176.0
2020-05-15,19258337.0
2020-05-16,19639075.0
2020-05-17,19954528.0
2020-05-18,20315090.0
2020-05-19,20706540.0
2020-05-20,21131533.0
